instruction,latency_cy,benchmark,flags
FADD,4.54,microbench_latency,"-O3 --use_fast_math --restrict"
FMUL,4.54,microbench_latency,"-O3 --use_fast_math --restrict"
FFMA,4.55,microbench_latency,"-O3 --use_fast_math --restrict"
IADD3,2.54,microbench_latency,"-O3 --use_fast_math --restrict"
IMAD,4.54,microbench_latency,"-O3 --use_fast_math --restrict"
DADD,48.49,microbench_latency_expanded,"-O3 --use_fast_math --restrict"
DFMA,54.49,microbench_latency_expanded,"-O3 --use_fast_math --restrict"
DMUL,48.49,microbench_latency_expanded,"-O3 --use_fast_math --restrict"
MUFU.RCP64H,17.55,microbench_latency_expanded,"-O3 --use_fast_math --restrict"
HADD2,4.54,microbench_latency_expanded,"-O3 --use_fast_math --restrict"
HFMA2,4.54,microbench_latency_expanded,"-O3 --use_fast_math --restrict"
HFMA2.BF16,4.01,microbench_latency_expanded,"-O3 --use_fast_math --restrict"
IDP.4A,4.54,microbench_latency_expanded,"-O3 --use_fast_math --restrict"
BREV,17.52,microbench_latency_corrected,"-O3 --use_fast_math --restrict"
FFMA_IEEE,4.54,microbench_latency_corrected,"-O3 --use_fast_math --restrict"
FP32_FP16_roundtrip,10.55,microbench_latency_conversions,"-O3 --use_fast_math --restrict"
FP32_BF16_roundtrip,8.55,microbench_latency_conversions,"-O3 --use_fast_math --restrict"
FP32_FP8E4M3_roundtrip,18.55,microbench_latency_conversions,"-O3 --use_fast_math --restrict"
INT32_FP32_roundtrip,23.54,microbench_latency_conversions,"-O3 --use_fast_math --restrict"
INT64_ADD,2.56,microbench_remaining_latencies,"-O3 --use_fast_math --restrict"
INT64_MUL,17.55,microbench_remaining_latencies,"-O3 --use_fast_math --restrict"
FABS_FNEG,0.00,microbench_remaining_latencies,"-O3 --use_fast_math --restrict"
FADD.SAT,4.54,microbench_remaining_latencies,"-O3 --use_fast_math --restrict"
LDGSTS,362.98,microbench_remaining_latencies,"-O3 --use_fast_math --restrict"
